Track Name,Artist,Track URI,danceability,energy,valence,acousticness,tempo,speechiness,liveness
*Equip Sunglasses*,Hot Mulligan,spotify:track:427OHPoIWqO3SsFw77EkDf,0.628,0.967,0.906,0.000747,120.015,0.063,0.0187
Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,spotify:track:62bOmKYxYg7dhrC6gH9vFn,0.61,0.926,0.861,0.031,172.638,0.0479,0.0821
*Sobs Quietly*,Mom Jeans.,spotify:track:794wvyVcaQpECvWCBQpaTB,0.422,0.785,0.396,0.00599,117.156,0.0949,0.0941
"Merry Christmas, Happy Holidays",*NSYNC,spotify:track:4v9WbaxW8HdjqfUiWYWsII,0.643,0.939,0.756,0.104,104.999,0.0463,0.881
***Flawless (feat. Chimamanda Ngozi Adichie),Beyoncé,spotify:track:7tefUew2RUuSAqHyegMoY1,0.476,0.688,0.353,0.0953,140.555,0.245,0.438
＊〜アスタリスク〜,ORANGE RANGE,spotify:track:6MKOd8KDFzwpu8Vz6ccZU5,0.57,0.931,0.677,0.026,127.988,0.0408,0.312
It's Gonna Be Me,*NSYNC,spotify:track:2AW37v0bDyuOzGP3XnmFuA,0.636,0.873,0.908,0.0407,165.071,0.071,0.0372
***HIDDEN TRACK***,Prince Daddy & the Hyena,spotify:track:1XsiMSfSYt5EfynqsNxO7H,0.832,0.665,0.421,0.171,93.526,0.155,0.0808
Better Place (From TROLLS Band Together),*NSYNC,spotify:track:1bHnRc60O1N0l3PbHjaKyK,0.579,0.556,0.558,0.0214,116.943,0.0511,0.0904
Better Place (From TROLLS Band Together),*NSYNC,spotify:track:41iJ5BjMdpW5hAJeS2NGDP,0.579,0.556,0.558,0.0214,116.943,0.0511,0.0904
Tearin' up My Heart - Radio Edit,*NSYNC,spotify:track:73q3FpQVXWk5eSUnyo83E4,0.687,0.918,0.747,0.00211,110.06,0.0392,0.344
Bye Bye Bye,*NSYNC,spotify:track:3iMmPeDuCBw8h6t1ZQFn4t,0.594,0.943,0.914,0.0818,172.624,0.048,0.0882
Bring It All to Me (feat. *NSYNC),Blaque,spotify:track:1cjBan0t4eBk2Y5j17hdyf,0.695,0.579,0.726,0.000479,88.957,0.0325,0.0556
**it gets better,Martin Luke Brown,spotify:track:2FPAojOLtUXmtRSw9tEOF9,0.634,0.875,0.788,0.0817,162.986,0.0916,0.0963
I Want You Back - Radio Edit,*NSYNC,spotify:track:221LRlPHPuevgE1tuUlof9,0.751,0.939,0.905,0.0521,112.041,0.0466,0.477
This I Promise You,*NSYNC,spotify:track:46n2EGFnPC3tzWCN1Aqe26,0.55,0.587,0.466,0.354,165.975,0.0329,0.128
Tearin' up My Heart - Radio Edit,*NSYNC,spotify:track:594M0rqYMOo8BhMGEdoi5C,0.686,0.915,0.796,0.0028,110.054,0.0364,0.233
Better Place (Reunion),*NSYNC,spotify:track:5GJaRoYtOiXUpPVT0jyNNq,0.744,0.505,0.597,0.283,116.954,0.0416,0.0875
*_*,LVL UP,spotify:track:1ghuCB4Jt2R0K6uzaBjDAX,0.348,0.594,0.309,0.00301,105.388,0.0389,0.0846
*YOU HAVE 1 NEW VOICEMAIL*,RIDERS,spotify:track:1x47fewuCE1fPbOfQe95Fs,0.463,0.516,0.525,0.01,129.214,0.0441,0.117
Pop,*NSYNC,spotify:track:0Jc8qF1mUPo1A96HE9QxZz,0.706,0.861,0.923,0.0341,119.946,0.154,0.127
Calm Sea Sounds For Bedtime,Ocean Sounds,spotify:track:1ZaP7MorWCySXzfu8y9XHa,0.178,0.934,1e-05,0.48,112.364,0.073,0.63
